Probes.Probe_Type VCap.Probe_id VCap.Gene_symbol point_change androgen_point_change
Common Probe ILMN_1739521 NLGN1 10 7
Common Probe ILMN_1708059 DQ895684 6 3
Common Probe ILMN_1706531 ABCC5 3 0
Common Probe ILMN_1651964 ABCC5 7 3
Common Probe ILMN_1762883 ECE2 10 0
Common Probe ILMN_1741346 EPHB3 11 0
Common Probe ILMN_1660519 C3orf70 7 0
Common Probe ILMN_1753243 DNAJB11 6 1
Common Probe ILMN_1724489 RFC4 8 7
Common Probe ILMN_1756501 ST6GAL1 4 0
Common Probe ILMN_1710284 HES1 7 2
Common Probe ILMN_1705746 CA8 0 0
Common Probe ILMN_1706015 FAM43A 1 0
Common Probe ILMN_1754458 SDHALP2 3 0
Common Probe ILMN_1765032 AK128346 4 0
Common Probe ILMN_1653278 MUC20 4 0
Common Probe ILMN_1665260 AK129507 3 0
Common Probe ILMN_1759048 LOC220729 3 0
Common Probe ILMN_1746948 MYL5 10 6
Common Probe ILMN_1703041 IDUA 14 12
Common Probe ILMN_1787259 RNF212 9 0
Common Probe ILMN_1676099 FLJ00108 7 0
Common Probe ILMN_1753353 SLBP 3 0
Common Probe ILMN_1663033 TMEM129 2 0
Common Probe ILMN_1723123 FGFR3 2 0
Common Probe ILMN_1722834 RGS12 3 0
Common Probe ILMN_1764362 AM393086 4 0
Common Probe ILMN_1777397 MSX1 2 0
Common Probe ILMN_1789541 CRMP1 8 2
Common Probe ILMN_1720941 EVC 8 0
Common Probe ILMN_1759023 WFS1 5 2
Common Probe ILMN_1768510 MAN2B2 11 1
Common Probe ILMN_2055165 MRFAP1 2 0
Common Probe ILMN_1797181 BC073972 2 0
Common Probe ILMN_1801216 S100P 3 0
Common Probe ILMN_1693702 MRFAP1L1 0 0
Common Probe ILMN_1685095 CNO 2 0
Common Probe ILMN_1795704 KIAA0232 2 0
Common Probe ILMN_1779886 TBC1D14 7 0
Common Probe ILMN_1670817 GRPEL1 4 0
Common Probe ILMN_1758825 ABLIM2 11 3
